MAC;SLOC Name;Time received;Time recorded;Event;Value
04C3E680FACF;Stapler 349-1;17.05.2024 04:59:40;17.05.2024 04:59:30;Battery Level;"73.72"
04C3E680FACF;Stapler 349-1;17.05.2024 04:59:40;17.05.2024 04:59:30;Battery Used Charge;"1839.679 mAh"
04C3E680FACF;Stapler 349-1;17.05.2024 04:59:40;17.05.2024 04:59:30;Battery Voltage;"3.662"
04C3E680FACF;Stapler 349-1;16.05.2024 23:00:24;16.05.2024 22:59:55;Battery Level;"73.75"
04C3E680FACF;Stapler 349-1;16.05.2024 23:00:24;16.05.2024 22:59:55;Battery Used Charge;"1837.822 mAh"
04C3E680FACF;Stapler 349-1;16.05.2024 23:00:24;16.05.2024 22:59:55;Battery Voltage;"3.658"
04C3E680FACF;Stapler 349-1;16.05.2024 17:00:21;16.05.2024 17:00:04;Battery Level;"73.78"
04C3E680FACF;Stapler 349-1;16.05.2024 17:00:21;16.05.2024 17:00:04;Battery Used Charge;"1835.169 mAh"
04C3E680FACF;Stapler 349-1;16.05.2024 17:00:21;16.05.2024 17:00:04;Battery Voltage;"3.644"
04C3E680FACF;Stapler 349-1;16.05.2024 05:00:19;16.05.2024 05:00:09;Battery Level;"74.39"
04C3E680FACF;Stapler 349-1;16.05.2024 05:00:19;16.05.2024 05:00:09;Battery Used Charge;"1792.412 mAh"
04C3E680FACF;Stapler 349-1;16.05.2024 05:00:19;16.05.2024 05:00:09;Battery Voltage;"3.664"
04C3E680FACF;Stapler 349-1;15.05.2024 22:59:47;15.05.2024 22:59:37;Battery Level;"74.41"
04C3E680FACF;Stapler 349-1;15.05.2024 22:59:47;15.05.2024 22:59:37;Battery Used Charge;"1791.514 mAh"
04C3E680FACF;Stapler 349-1;15.05.2024 22:59:47;15.05.2024 22:59:37;Battery Voltage;"3.658"
04C3E680FACF;Stapler 349-1;15.05.2024 17:00:22;15.05.2024 17:00:04;Battery Level;"74.46"
04C3E680FACF;Stapler 349-1;15.05.2024 17:00:22;15.05.2024 17:00:04;Battery Used Charge;"1788.095 mAh"
04C3E680FACF;Stapler 349-1;15.05.2024 17:00:22;15.05.2024 17:00:04;Battery Voltage;"3.650"
04C3E680FACF;Stapler 349-1;15.05.2024 05:00:19;15.05.2024 05:00:09;Battery Level;"75.08"
04C3E680FACF;Stapler 349-1;15.05.2024 05:00:19;15.05.2024 05:00:09;Battery Used Charge;"1744.524 mAh"
04C3E680FACF;Stapler 349-1;15.05.2024 05:00:19;15.05.2024 05:00:09;Battery Voltage;"3.664"
04C3E680FACF;Stapler 349-1;14.05.2024 22:59:47;14.05.2024 22:59:37;Battery Level;"75.08"
04C3E680FACF;Stapler 349-1;14.05.2024 22:59:47;14.05.2024 22:59:37;Battery Used Charge;"1743.685 mAh"
04C3E680FACF;Stapler 349-1;14.05.2024 22:59:47;14.05.2024 22:59:37;Battery Voltage;"3.654"
04C3E680FACF;Stapler 349-1;14.05.2024 17:00:17;14.05.2024 17:00:04;Battery Level;"75.12"
04C3E680FACF;Stapler 349-1;14.05.2024 17:00:17;14.05.2024 17:00:04;Battery Used Charge;"1740.936 mAh"
04C3E680FACF;Stapler 349-1;14.05.2024 17:00:17;14.05.2024 17:00:04;Battery Voltage;"3.648"
